joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.120234,0.037343,-0.011354,0.004062,0.051292,0.032824,0.010769,-0.082826,0.004210,0.012885,0.209130,-0.014856,0.034044,-0.124349,-0.145500,-0.040510,0.010505,0.319739,-0.246344,0.175779,-0.112612,0.085565,0.005916,0.143177,-0.062498,0.000000,0.055281,0.000000,-0.000000
0.098529,-0.021338,0.000457,-0.047131,-0.011908,-0.047490,0.026649,-0.068816,0.000000,0.055762,0.350338,0.001878,0.026225,-0.019939,-0.201044,0.011802,0.046477,0.279749,-0.275367,0.178670,-0.107658,0.079989,0.007194,0.143612,-0.062997,0.000000,0.059178,0.000000,-0.000000
0.077463,-0.072248,0.011299,-0.087950,-0.058058,-0.110951,0.041560,-0.052545,0.000000,0.088926,0.472220,0.015485,0.024670,0.091468,-0.245218,0.049331,0.075527,0.243472,-0.303168,0.179607,-0.104655,0.072816,0.010797,0.143370,-0.064123,0.000000,0.063776,-0.000000,0.000000
0.053994,-0.092660,0.016459,-0.080035,-0.030387,-0.084394,0.032810,-0.031342,0.000000,0.091255,0.464706,0.024283,0.036718,0.097588,-0.195730,0.027739,0.070993,0.240442,-0.322288,0.175054,-0.106668,0.067347,0.009593,0.141755,-0.065653,-0.000001,0.064141,-0.000001,0.000000
0.026037,-0.098323,0.029225,-0.066015,0.000552,-0.058930,0.023694,-0.004594,0.000000,0.070052,0.384131,0.020170,0.029878,0.082676,-0.170679,0.018577,0.073294,0.240605,-0.320537,0.170481,-0.106493,0.053179,0.004321,0.140049,-0.066916,-0.000001,0.063922,-0.000001,0.000001
0.007570,-0.086406,0.043215,-0.052899,0.019289,-0.047289,0.018768,0.014327,0.000000,0.035917,0.270780,0.005203,0.007572,0.054188,-0.182590,0.026429,0.081281,0.243878,-0.298787,0.168173,-0.104215,0.037393,-0.002384,0.139103,-0.067282,0.000000,0.063227,-0.000000,0.000000
-0.035895,-0.054515,0.047369,-0.029243,0.030127,-0.031686,0.048994,0.049734,0.000000,0.044429,0.163780,0.008695,-0.003561,0.042568,-0.149160,0.008506,0.067639,0.229366,-0.258027,0.163090,-0.105255,0.029922,-0.009072,0.136713,-0.068360,0.000001,0.062151,0.000001,-0.000000
-0.090170,-0.016700,0.044009,0.010716,0.047794,-0.006750,0.094454,0.076187,0.000000,0.101668,0.076134,0.017689,-0.006334,0.032891,-0.112064,-0.019571,0.047839,0.193929,-0.211344,0.157738,-0.107111,0.024459,-0.010681,0.134323,-0.069235,0.000001,0.062146,0.000001,-0.000001
-0.141062,0.012989,0.035455,0.072744,0.087019,0.032884,0.135223,0.068240,0.000000,0.213714,0.020842,0.019227,-0.003564,0.010229,-0.112975,-0.042185,0.037344,0.134424,-0.171819,0.154619,-0.107278,0.014713,-0.002161,0.133372,-0.068987,-0.000001,0.064667,-0.000001,0.000000
-0.440069,0.040649,0.061374,0.099459,0.064235,0.020413,0.117291,0.096217,0.000000,0.095116,0.017035,0.030202,-0.000492,0.013516,-0.155622,-0.073728,0.040620,0.142793,-0.144343,0.152346,-0.106888,0.019717,0.015345,0.133089,-0.069101,-0.000001,0.069709,-0.000001,0.000000
