joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.390765,0.277630,-0.006978,0.000764,0.012970,0.050478,0.096300,-0.009686,0.520000,0.235157,0.343765,-0.179374,-0.132279,-0.209146,-0.095807,0.391080,-0.425310,0.249556,-0.056264,0.479569,-0.241084,1.216444,1.321085,0.151089,-0.047915,0.300000,0.144165,0.050000,-0.050000
0.362991,0.273110,-0.006740,0.005188,0.013929,0.050970,0.095672,-0.009203,0.520000,0.229064,0.355488,-0.179404,-0.132191,-0.192803,-0.109958,0.387852,-0.423894,0.252974,-0.058829,0.482393,-0.243137,1.217143,1.322071,0.153690,-0.049323,0.300000,0.145660,0.050000,-0.050000
0.328672,0.263370,-0.010499,0.013033,0.018348,0.055232,0.094642,-0.012856,0.520000,0.222192,0.377615,-0.179633,-0.131865,-0.150137,-0.138620,0.383296,-0.424068,0.254682,-0.062801,0.485113,-0.245241,1.218329,1.323110,0.156309,-0.050720,0.300000,0.147212,0.050000,-0.050000
0.296937,0.248517,-0.011668,0.014551,0.018633,0.055599,0.094691,-0.015196,0.520000,0.224665,0.402256,-0.181028,-0.131881,-0.115810,-0.159459,0.380183,-0.422852,0.256934,-0.067568,0.487868,-0.247125,1.219105,1.323436,0.158925,-0.052095,0.300000,0.148513,0.050000,-0.050000
0.266494,0.231110,-0.011540,0.012907,0.016852,0.054020,0.095280,-0.016879,0.520000,0.231812,0.428154,-0.183006,-0.132068,-0.085651,-0.176387,0.377790,-0.420940,0.259457,-0.072732,0.490642,-0.248899,1.219676,1.323404,0.161540,-0.053459,0.300000,0.149689,0.050000,-0.050000
0.241881,0.201516,-0.012330,0.010213,0.012611,0.050888,0.097824,-0.020164,0.520000,0.247254,0.460350,-0.187309,-0.133610,-0.066976,-0.189531,0.375973,-0.419526,0.260862,-0.078509,0.493170,-0.250770,1.220472,1.322096,0.163986,-0.054933,0.300000,0.150574,0.050000,-0.050000
0.214945,0.170072,-0.012840,0.007941,0.008725,0.048025,0.100591,-0.022792,0.520000,0.266647,0.494648,-0.191257,-0.135240,-0.051742,-0.202361,0.374746,-0.418050,0.261706,-0.084144,0.495765,-0.252670,1.221527,1.320889,0.166453,-0.056437,0.300000,0.151576,0.050000,-0.050000
0.183361,0.134928,-0.012790,0.006509,0.005551,0.045699,0.103804,-0.024106,0.520000,0.293942,0.533149,-0.194492,-0.137047,-0.043389,-0.214565,0.374696,-0.416451,0.261429,-0.089494,0.498496,-0.254630,1.223100,1.319887,0.168965,-0.058004,0.300000,0.152815,0.050000,-0.050000
0.145210,0.094922,-0.012833,0.006688,0.003911,0.046448,0.106321,-0.023760,0.520000,0.321626,0.568287,-0.199383,-0.141615,-0.039936,-0.228657,0.373553,-0.417611,0.259708,-0.096841,0.500921,-0.257013,1.224153,1.317442,0.171339,-0.059719,0.300000,0.153517,0.050000,-0.050000
0.103775,0.052484,-0.012921,0.007672,0.003038,0.048734,0.108490,-0.022583,0.520000,0.349504,0.601744,-0.205102,-0.147564,-0.038932,-0.243694,0.371862,-0.420150,0.257266,-0.105186,0.503194,-0.259607,1.224945,1.314276,0.173643,-0.061508,0.300000,0.153952,0.050000,-0.050000
0.059592,0.008106,-0.011957,0.009994,0.003616,0.050538,0.110353,-0.021329,0.520000,0.380172,0.636543,-0.210088,-0.155353,-0.046032,-0.258453,0.372905,-0.424233,0.258213,-0.112985,0.506112,-0.262551,1.222051,1.310132,0.176298,-0.063336,0.300000,0.153904,0.050000,-0.050000
