body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.047777,0.082337,0.045371,-0.022957,0.190004,0.034238,-0.074514,0.204103,-0.159279,-0.096307,0.122417,-0.141398,0.015949,0.169913,0.008947,-0.092985,0.191621,-0.194159,-0.318959,0.162114,-0.024404,-0.041270,0.081657,0.029477,1.490417,-0.079884,0.344039,1.687195,-0.261256,0.293503,1.731584,-0.208195,0.322848,-1.212486,-0.264616,-0.251140,-1.463458,-0.482080,-0.315288,-1.486835,-0.456719,-0.317560
-0.035227,0.137953,0.043725,0.004983,0.361156,0.024320,-0.082668,0.268902,-0.170999,-0.094313,0.225736,-0.161521,0.016003,0.353924,0.010816,-0.092409,0.256988,-0.187579,-0.297978,0.272855,-0.033380,-0.004917,0.135971,-0.009194,1.473259,-0.006552,0.297322,1.702655,-0.209596,0.271959,1.735614,-0.170253,0.295689,-1.176664,-0.160985,-0.286039,-1.389059,-0.346189,-0.327319,-1.409220,-0.322111,-0.328854
-0.010524,0.147912,0.029867,0.006933,0.395075,0.017264,-0.075741,0.265714,-0.115285,-0.077558,0.259069,-0.113817,0.020500,0.395289,0.006877,-0.058895,0.253605,-0.134327,-0.207002,0.293657,-0.023307,0.017618,0.144080,-0.057534,1.420228,-0.001840,0.244702,1.643871,-0.196552,0.227040,1.668254,-0.167377,0.246422,-1.101231,-0.117414,-0.324726,-1.265229,-0.260690,-0.343987,-1.273790,-0.227961,-0.339580
0.014258,0.107221,0.010798,-0.017448,0.274743,0.016829,-0.055241,0.195643,-0.020048,-0.052589,0.205290,-0.022194,0.027832,0.273336,-0.000789,-0.007205,0.183232,-0.061478,-0.089800,0.214034,0.000422,0.015218,0.101913,-0.091532,1.357590,-0.067069,0.214162,1.540450,-0.225481,0.182514,1.563060,-0.198334,0.202282,-1.023454,-0.155081,-0.349702,-1.153534,-0.268011,-0.357619,-1.147755,-0.220847,-0.345860
0.027300,0.086860,0.006417,-0.019156,0.223208,0.018270,-0.049482,0.147694,0.002817,-0.043530,0.169336,-0.002039,0.044660,0.232345,-0.006779,0.017326,0.149660,-0.053309,-0.064800,0.173477,0.008248,0.042247,0.082546,-0.083936,1.154404,-0.158350,0.207836,1.291903,-0.276003,0.201123,1.283179,-0.285161,0.195887,-0.917163,-0.162046,-0.329837,-1.011092,-0.242829,-0.323665,-0.994421,-0.184402,-0.307827
0.025890,0.078995,-0.001638,-0.022973,0.211642,0.011112,-0.062819,0.121142,-0.018774,-0.055786,0.146649,-0.024554,0.045190,0.236444,-0.016318,0.008597,0.134621,-0.078391,-0.087551,0.156844,-0.006313,0.064111,0.076301,-0.070471,0.964320,-0.200964,0.199787,1.065515,-0.287184,0.220015,1.026139,-0.330848,0.187553,-0.833446,-0.140802,-0.302576,-0.901380,-0.198374,-0.285107,-0.877980,-0.132505,-0.267613
0.007457,0.075791,-0.031651,-0.053403,0.211234,-0.014856,-0.098901,0.115358,-0.056948,-0.094076,0.132784,-0.060932,0.003963,0.249797,-0.034274,-0.038645,0.119858,-0.105171,-0.112783,0.148390,-0.049603,0.046476,0.073768,-0.087032,0.941987,-0.124319,0.162056,1.030273,-0.199149,0.171443,0.989685,-0.241367,0.137061,-0.823531,-0.091907,-0.305276,-0.888354,-0.145747,-0.284041,-0.862997,-0.076760,-0.266783
-0.002810,0.086224,-0.049784,-0.075559,0.234375,-0.029080,-0.127293,0.135587,-0.087824,-0.124269,0.146439,-0.090325,-0.017250,0.288355,-0.046861,-0.069425,0.147943,-0.133506,-0.123005,0.165669,-0.093341,0.028160,0.085313,-0.079670,0.871214,0.002918,0.123725,0.927694,-0.044021,0.115997,0.877879,-0.076091,0.076090,-0.816229,-0.038275,-0.285351,-0.879780,-0.090180,-0.265483,-0.852192,-0.025804,-0.247053
0.000280,0.105027,-0.046982,-0.078287,0.269447,-0.024512,-0.133771,0.171628,-0.095898,-0.131227,0.180686,-0.098005,-0.007813,0.332763,-0.047952,-0.068450,0.204763,-0.149312,-0.113288,0.200109,-0.115726,0.018392,0.105094,-0.052067,0.787020,0.117599,0.105917,0.808705,0.101271,0.083615,0.746390,0.083278,0.037293,-0.814643,-0.006445,-0.255337,-0.879560,-0.059024,-0.240940,-0.850612,-0.004510,-0.220761
0.002792,0.070970,-0.005748,-0.027330,0.180553,0.001731,-0.079375,0.118137,-0.098902,-0.082023,0.108781,-0.096703,0.026438,0.222013,-0.022446,-0.037612,0.177715,-0.134201,-0.034931,0.093892,-0.136420,0.013432,0.071938,0.010414,0.663028,0.088463,0.142385,0.669558,0.085037,0.121839,0.601768,0.072322,0.072413,-0.644677,-0.038601,-0.158042,-0.674884,-0.062193,-0.145013,-0.632965,-0.003279,-0.117929
