body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.051432,0.033192,-0.014832,-0.072662,0.031371,-0.015105,-0.079428,0.017526,-0.018534,-0.055746,0.009090,-0.010911,-0.032375,0.032299,-0.015636,-0.010033,0.009366,-0.009920,0.001543,-0.001444,-0.003527,-0.064517,0.033026,-0.015724,-0.072501,0.036043,-0.016108,-0.062837,0.038581,-0.018141,-0.053368,0.037612,-0.018262,-0.054439,0.031535,-0.018872,-0.041747,0.025815,-0.021387,-0.028269,0.022580,-0.022568
-0.056067,0.031376,-0.017676,-0.117822,0.024374,-0.009083,-0.239027,-0.011109,-0.063186,-0.300227,-0.033590,-0.084858,-0.033569,0.030547,-0.021327,-0.008115,0.009107,-0.014691,0.003101,-0.001142,-0.007262,-0.064285,0.033714,-0.018275,-0.071282,0.038439,-0.018738,-0.061507,0.045443,-0.023242,-0.051286,0.048165,-0.026381,-0.054007,0.032015,-0.021926,-0.042301,0.024979,-0.025004,-0.027625,0.020334,-0.026537
-0.058920,0.027042,-0.016986,-0.176226,0.013001,0.009657,-0.468451,-0.052092,-0.115032,-0.669856,-0.095483,-0.181870,-0.035091,0.024812,-0.027767,-0.010332,0.006816,-0.020815,0.004588,-0.001282,-0.010694,-0.058361,0.036268,-0.016948,-0.064631,0.042354,-0.017477,-0.055760,0.053304,-0.024134,-0.044382,0.059652,-0.030263,-0.047428,0.033736,-0.020899,-0.038635,0.023730,-0.025319,-0.024655,0.016178,-0.027455
-0.072933,0.030105,-0.021214,-0.215989,0.010542,0.015796,-0.596911,-0.075708,-0.136676,-0.862035,-0.132251,-0.218770,-0.053708,0.026215,-0.033615,-0.027649,0.007848,-0.025143,0.003659,-0.001080,-0.008560,-0.081058,0.042004,-0.021675,-0.087525,0.049104,-0.023394,-0.076565,0.063387,-0.031951,-0.063931,0.072326,-0.040234,-0.070924,0.037718,-0.026835,-0.056660,0.022532,-0.033512,-0.036451,0.010026,-0.037157
-0.075255,0.033662,-0.052325,-0.228216,0.012881,-0.013638,-0.666615,-0.077621,-0.175519,-0.953358,-0.135467,-0.266517,-0.071967,0.029553,-0.056155,-0.047647,0.009609,-0.045860,0.006961,-0.000883,-0.016268,-0.098295,0.043257,-0.053838,-0.104171,0.051770,-0.055918,-0.088233,0.069419,-0.066525,-0.071818,0.080956,-0.077171,-0.090156,0.038461,-0.061113,-0.067896,0.020944,-0.068649,-0.039405,0.006051,-0.073198
-0.043333,0.031626,-0.068440,-0.203924,0.016216,-0.036691,-0.721150,-0.053511,-0.209850,-1.023732,-0.097201,-0.323749,-0.072761,0.030152,-0.048877,-0.058304,0.009544,-0.037128,0.020751,-0.001279,0.015075,-0.076258,0.033074,-0.070946,-0.079127,0.044143,-0.070603,-0.055503,0.065898,-0.083830,-0.030450,0.081171,-0.098116,-0.070981,0.031186,-0.081274,-0.044057,0.019337,-0.086066,-0.010094,0.009301,-0.089558
0.353971,0.037271,0.073234,0.204261,0.024144,0.110543,-0.296591,-0.012792,-0.037729,-0.545088,-0.033783,-0.140773,0.299790,0.033308,0.098999,0.293948,0.013969,0.110284,0.397070,0.004243,0.176298,0.294359,0.040724,0.068796,0.294277,0.051328,0.068994,0.329391,0.071726,0.056072,0.364500,0.085917,0.041982,0.294495,0.038672,0.056292,0.332471,0.026473,0.051651,0.375811,0.015908,0.047777
0.651039,0.024930,0.180381,0.524695,0.011697,0.231854,0.128107,0.005206,0.125367,-0.021290,0.006324,0.055893,0.592434,0.015052,0.192207,0.565540,-0.001868,0.201231,0.679927,-0.009765,0.264404,0.561055,0.039672,0.173731,0.562450,0.046984,0.171376,0.607440,0.061087,0.161653,0.649312,0.069763,0.151616,0.556113,0.034433,0.160872,0.606117,0.015921,0.153900,0.658181,-0.000404,0.148581
0.316694,0.003038,0.125316,0.239943,-0.014806,0.175487,-0.004184,-0.002684,0.115578,-0.031137,0.012063,0.080116,0.234722,-0.010749,0.135798,0.159805,-0.019974,0.137169,0.278098,-0.023312,0.197991,0.177269,0.025342,0.114273,0.178046,0.030651,0.109130,0.239423,0.041298,0.100878,0.294575,0.047348,0.092246,0.165582,0.019364,0.099681,0.232170,0.000873,0.093549,0.295962,-0.015223,0.088278
0.070521,-0.000462,0.084387,0.027305,-0.022691,0.129617,-0.105412,-0.004032,0.099062,-0.036728,0.018370,0.090028,-0.035124,-0.016070,0.101835,-0.159857,-0.021677,0.097781,-0.039240,-0.023153,0.158311,-0.109582,0.024568,0.067917,-0.110661,0.028235,0.061045,-0.034252,0.035381,0.054714,0.033949,0.039166,0.047617,-0.124857,0.018881,0.051534,-0.044371,0.002402,0.047479,0.029687,-0.011603,0.043080
0.098858,-0.003654,0.055857,0.032317,-0.024565,0.107643,-0.120782,-0.011225,0.075512,-0.033671,0.013843,0.077052,-0.013048,-0.017481,0.082903,-0.163450,-0.027421,0.080834,-0.036367,-0.031830,0.145064,-0.085262,0.019576,0.036654,-0.088929,0.021075,0.031090,-0.007011,0.021157,0.029058,0.066940,0.019989,0.026261,-0.096139,0.013851,0.019671,-0.011668,-0.003631,0.016197,0.066684,-0.018408,0.012378
0.167357,-0.009409,0.023780,0.076949,-0.025111,0.078620,-0.109271,-0.019118,0.044173,-0.024903,0.006459,0.053329,0.057701,-0.017245,0.063986,-0.125465,-0.025151,0.061152,-0.016131,-0.027468,0.122273,-0.049867,0.015240,-0.001966,-0.063496,0.017435,-0.003784,0.028614,0.012220,-0.002270,0.108832,0.007126,-0.001379,-0.057150,0.013115,-0.025555,0.033536,0.000075,-0.025846,0.113078,-0.009828,-0.027762
0.241253,-0.015548,0.001079,0.138622,-0.024685,0.054976,-0.077126,-0.024518,0.019812,-0.015090,-0.001104,0.029554,0.141758,-0.016237,0.052406,-0.065067,-0.016839,0.047795,0.011255,-0.013144,0.100336,-0.021225,0.013112,-0.034868,-0.047540,0.018591,-0.032900,0.054308,0.012515,-0.029759,0.138106,0.006485,-0.027224,-0.026725,0.016358,-0.068115,0.069331,0.010922,-0.063742,0.146373,0.009078,-0.063194
0.272290,-0.008909,-0.029076,0.163552,-0.015044,0.025478,-0.062309,-0.020846,-0.005068,-0.005830,-0.001884,0.010630,0.179883,-0.006602,0.030684,-0.032553,-0.008969,0.031607,0.038852,-0.006082,0.083932,-0.018150,0.011966,-0.074291,-0.046670,0.014604,-0.076029,0.063092,0.000366,-0.066822,0.142555,-0.015477,-0.055463,-0.027029,0.019202,-0.105265,0.067003,0.028594,-0.093496,0.136959,0.040977,-0.089233
0.281525,-0.000899,-0.051133,0.172470,-0.005377,0.003298,-0.054938,-0.015199,-0.020499,-0.000048,-0.000133,0.000044,0.185279,0.002584,0.020744,-0.037233,-0.004886,0.031497,0.048739,-0.005436,0.090419,-0.022645,0.010673,-0.104716,-0.049480,0.010082,-0.110747,0.065073,-0.011031,-0.095858,0.139583,-0.035276,-0.076874,-0.035705,0.019058,-0.132590,0.053965,0.036287,-0.116723,0.117480,0.056092,-0.110391
0.290007,-0.002404,-0.049343,0.186130,-0.004515,0.001624,-0.044835,-0.014640,-0.017237,-0.000045,-0.000488,-0.000060,0.171763,0.002696,0.045928,-0.087753,-0.007327,0.070278,0.023968,-0.009720,0.140786,-0.016603,0.008386,-0.110183,-0.045403,0.010119,-0.115153,0.070098,-0.007692,-0.100386,0.147186,-0.028544,-0.083080,-0.028802,0.013562,-0.144421,0.060050,0.017860,-0.133334,0.123432,0.025826,-0.129176
0.111637,0.118545,-0.142836,-0.001959,0.115871,-0.077795,-0.143741,0.008743,-0.070689,-0.001507,-0.041528,-0.015405,0.002097,0.123053,-0.047080,-0.294456,0.111322,-0.012021,-0.183577,0.108642,0.057819,-0.209386,0.140313,-0.213465,-0.244885,0.138066,-0.221547,-0.127044,0.109852,-0.199282,-0.050143,0.080799,-0.174396,-0.218251,0.141439,-0.248771,-0.127786,0.134626,-0.241463,-0.065546,0.132983,-0.239107
-0.156086,0.317474,-0.300436,-0.289384,0.315576,-0.210275,-0.301103,0.053054,-0.158666,-0.008347,-0.115001,-0.032633,-0.229364,0.323898,-0.225575,-0.543567,0.322186,-0.186791,-0.459061,0.325368,-0.130488,-0.495259,0.359833,-0.382988,-0.536435,0.349210,-0.395298,-0.416113,0.300226,-0.359361,-0.342111,0.254140,-0.319578,-0.502155,0.357795,-0.416100,-0.409700,0.345194,-0.410077,-0.349660,0.338971,-0.408487
