body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.030324,0.042226,0.797873,0.010483,-0.072143,0.666160,0.057508,-0.062578,0.363793,0.174142,-0.046885,0.069226,0.008076,0.160751,0.669377,0.020792,0.162844,0.363511,0.138529,0.161635,0.068659,0.046814,0.042298,0.849429,-0.025079,-0.090220,1.078249,-0.024641,-0.177097,0.915204,-0.045935,-0.269184,0.757929,-0.024616,0.190622,1.068376,-0.017388,0.268681,0.901217,-0.022706,0.344715,0.733433
0.028901,0.042878,0.796324,0.008343,-0.071490,0.664477,0.047494,-0.063346,0.360949,0.154914,-0.049231,0.062762,0.006862,0.161402,0.667762,0.018740,0.163183,0.361861,0.138882,0.161587,0.068008,0.045299,0.042953,0.847910,-0.027088,-0.089380,1.076681,-0.026349,-0.175869,0.913431,-0.047190,-0.267627,0.755902,-0.026423,0.191456,1.066639,-0.018799,0.269204,0.899353,-0.023464,0.344941,0.731419
0.028259,0.043258,0.795210,0.007313,-0.070666,0.662766,0.036832,-0.063690,0.358122,0.133410,-0.050641,0.056073,0.005973,0.162204,0.667017,0.015706,0.163541,0.361038,0.139791,0.161500,0.068896,0.044519,0.043250,0.846837,-0.028492,-0.088774,1.075589,-0.027280,-0.174771,0.912080,-0.047418,-0.266082,0.754201,-0.027754,0.192048,1.065183,-0.019618,0.269639,0.897846,-0.023500,0.345223,0.729828
0.042465,0.044191,0.799390,0.021468,-0.069807,0.666787,0.042936,-0.063301,0.361459,0.132834,-0.050426,0.057270,0.020210,0.163060,0.671029,0.027048,0.164060,0.364970,0.155200,0.161641,0.074648,0.058448,0.044229,0.851103,-0.015717,-0.087633,1.079581,-0.013750,-0.173293,0.915901,-0.032977,-0.264336,0.757754,-0.015098,0.193179,1.068920,-0.006093,0.270445,0.901477,-0.008973,0.345713,0.733299
0.053408,0.044501,0.802636,0.032529,-0.069830,0.670101,0.046734,-0.063451,0.364346,0.132057,-0.050314,0.058801,0.031327,0.163044,0.673842,0.034892,0.163753,0.367728,0.167155,0.160974,0.079310,0.069043,0.044650,0.854456,-0.006537,-0.087125,1.082524,-0.003672,-0.172526,0.918720,-0.021881,-0.263390,0.760350,-0.006136,0.193678,1.071662,0.003919,0.270536,0.904089,0.002151,0.345408,0.735723
0.053748,0.044832,0.804720,0.034103,-0.070050,0.672327,0.044416,-0.063743,0.366414,0.130826,-0.049825,0.061184,0.031915,0.162829,0.675231,0.030094,0.163430,0.369101,0.166332,0.160503,0.082585,0.068760,0.045159,0.856726,-0.009357,-0.086598,1.083959,-0.005085,-0.171797,0.920080,-0.021750,-0.262519,0.761458,-0.009340,0.194195,1.072896,0.002336,0.270723,0.905277,0.002012,0.345296,0.736772
0.054432,0.045104,0.806397,0.035894,-0.070289,0.674144,0.041662,-0.064153,0.368107,0.129645,-0.049429,0.063349,0.032906,0.162591,0.676254,0.025190,0.163038,0.370215,0.165503,0.159880,0.085721,0.068807,0.045594,0.858582,-0.011918,-0.086125,1.084934,-0.006181,-0.171222,0.921045,-0.021201,-0.261878,0.762221,-0.012194,0.194655,1.073668,0.001148,0.270843,0.906016,0.002338,0.345106,0.737381
0.055855,0.045228,0.807325,0.038174,-0.070598,0.675185,0.038098,-0.064779,0.369086,0.128633,-0.049178,0.065113,0.034746,0.162281,0.676596,0.020125,0.162554,0.370809,0.164742,0.159086,0.088530,0.069571,0.045851,0.859687,-0.013921,-0.085776,1.085095,-0.006607,-0.170977,0.921321,-0.019790,-0.261726,0.762388,-0.014298,0.194993,1.073618,0.000803,0.270808,0.905946,0.003646,0.344734,0.737186
0.058932,0.045068,0.807755,0.042261,-0.070939,0.675497,0.035622,-0.065487,0.369461,0.128041,-0.049186,0.066090,0.038844,0.161942,0.676596,0.017115,0.162225,0.371232,0.164835,0.158615,0.090624,0.071769,0.045771,0.860339,-0.015595,-0.085357,1.084580,-0.006410,-0.170688,0.920968,-0.017570,-0.261547,0.761942,-0.015690,0.195381,1.072508,0.001399,0.271010,0.904941,0.005842,0.344829,0.736171
0.062835,0.044725,0.807816,0.047256,-0.071340,0.675352,0.033699,-0.066254,0.369538,0.127668,-0.049323,0.066677,0.044076,0.161546,0.676338,0.015146,0.161959,0.371573,0.165370,0.158318,0.092363,0.074680,0.045482,0.860629,-0.017096,-0.084937,1.083533,-0.005895,-0.170414,0.920121,-0.014943,-0.261392,0.761029,-0.016693,0.195758,1.070680,0.002497,0.271290,0.903296,0.008513,0.345115,0.734578
0.066851,0.044696,0.807033,0.052461,-0.071314,0.674302,0.031715,-0.066755,0.368882,0.127668,-0.049321,0.066678,0.049677,0.161576,0.675360,0.013532,0.161966,0.371366,0.166594,0.158125,0.093774,0.077602,0.045457,0.860079,-0.018907,-0.084596,1.081205,-0.005292,-0.170449,0.918172,-0.012452,-0.261993,0.759309,-0.018105,0.196072,1.067964,0.003093,0.271983,0.900992,0.010390,0.346308,0.732545
