body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.007502,0.098166,-0.013504,0.995050,0.008940,-0.010363,-0.010925,0.999847,-0.031485,-0.220902,-0.017483,0.974631,-0.025187,-0.119216,0.052703,0.991149,0.007733,0.068448,-0.010812,0.997566,0.014917,-0.158759,-0.007274,0.987178,0.016664,-0.141168,0.005614,0.989829,0.002986,-0.131466,0.017661,0.991159,0.036490,-0.051567,0.212526,0.975111,-0.256196,-0.547892,0.089982,0.791253,-0.264451,-0.667772,0.106761,0.687566,-0.028121,-0.071368,-0.197167,0.977364,0.177691,-0.639957,-0.119171,0.738024,0.195877,-0.682153,-0.133171,0.691783
0.005508,0.101561,-0.013597,0.994721,0.007018,-0.010651,-0.011021,0.999858,-0.032883,-0.220448,-0.017848,0.974681,-0.026234,-0.119156,0.055740,0.990963,0.005757,0.066983,-0.010122,0.997686,0.012560,-0.158201,-0.007162,0.987301,0.014200,-0.140096,0.005130,0.990023,0.001898,-0.133002,0.017278,0.990963,0.035908,-0.051197,0.212353,0.975190,-0.258252,-0.547645,0.088153,0.790962,-0.265525,-0.667941,0.105985,0.687109,-0.029589,-0.070983,-0.197198,0.977343,0.177389,-0.639337,-0.119489,0.738582,0.195279,-0.681866,-0.133926,0.692090
0.003510,0.104887,-0.013566,0.994385,0.005081,-0.011168,-0.011196,0.999862,-0.034309,-0.220157,-0.018285,0.974689,-0.027330,-0.118916,0.058765,0.990787,0.003779,0.065909,-0.009499,0.997773,0.010133,-0.158076,-0.007121,0.987349,0.011646,-0.139572,0.004368,0.990134,0.000857,-0.134532,0.016972,0.990763,0.035371,-0.050843,0.212205,0.975260,-0.260245,-0.547440,0.086387,0.790645,-0.266553,-0.668142,0.105259,0.686627,-0.031019,-0.070560,-0.197291,0.977310,0.177153,-0.638610,-0.119835,0.739212,0.194749,-0.681460,-0.134712,0.692487
0.001505,0.108077,-0.013288,0.994053,0.003109,-0.012142,-0.011517,0.999855,-0.035796,-0.220194,-0.018856,0.974617,-0.028535,-0.118307,0.061779,0.990643,0.001792,0.065619,-0.008988,0.997803,0.007558,-0.158810,-0.007222,0.987254,0.008895,-0.140140,0.003051,0.990087,-0.000094,-0.136054,0.016826,0.990558,0.034922,-0.050521,0.212109,0.975314,-0.262118,-0.547322,0.084754,0.790285,-0.267499,-0.668409,0.104637,0.686094,-0.032373,-0.070059,-0.197509,0.977258,0.177046,-0.637669,-0.120242,0.739983,0.194351,-0.680817,-0.135558,0.693066
-0.000236,0.110811,-0.013011,0.993756,0.001392,-0.013179,-0.011919,0.999841,-0.037295,-0.220103,-0.019495,0.974568,-0.029750,-0.117822,0.064717,0.990477,0.000080,0.065208,-0.008718,0.997834,0.006083,-0.159927,-0.007264,0.987083,0.007227,-0.141031,0.001627,0.989977,-0.000939,-0.137402,0.016846,0.990372,0.034543,-0.050041,0.211990,0.975378,-0.263828,-0.546947,0.083199,0.790141,-0.268325,-0.668442,0.104101,0.685821,-0.033585,-0.069616,-0.197829,0.977184,0.177145,-0.636728,-0.120625,0.740707,0.194156,-0.680199,-0.136371,0.693567
-0.001843,0.113315,-0.012735,0.993476,-0.000198,-0.014247,-0.012366,0.999822,-0.038800,-0.219948,-0.020172,0.974531,-0.030973,-0.117403,0.067616,0.990296,-0.001495,0.064738,-0.008571,0.997864,0.005158,-0.161235,-0.007280,0.986876,0.006097,-0.142083,0.000147,0.989836,-0.001733,-0.138663,0.016948,0.990193,0.034198,-0.049483,0.211858,0.975448,-0.265455,-0.546442,0.081681,0.790103,-0.269093,-0.668359,0.103605,0.685676,-0.034726,-0.069200,-0.198198,0.977099,0.177346,-0.635787,-0.120995,0.741407,0.194061,-0.679594,-0.137166,0.694030
-0.003165,0.115638,-0.012175,0.993212,-0.001548,-0.015518,-0.012865,0.999796,-0.040043,-0.219145,-0.020794,0.974648,-0.031932,-0.116542,0.070844,0.990141,-0.002784,0.064359,-0.008453,0.997887,0.005193,-0.162366,-0.007060,0.986692,0.005857,-0.142044,-0.001525,0.989842,-0.002657,-0.140320,0.017098,0.989955,0.033818,-0.049285,0.211859,0.975471,-0.267258,-0.545548,0.080447,0.790240,-0.270057,-0.667943,0.103451,0.685725,-0.036037,-0.069321,-0.198028,0.977078,0.177128,-0.635593,-0.121053,0.741615,0.193522,-0.679806,-0.137663,0.693874
-0.004352,0.117410,-0.011982,0.993002,-0.002721,-0.016681,-0.013281,0.999769,-0.041194,-0.218789,-0.021339,0.974669,-0.032796,-0.115897,0.074050,0.989954,-0.003954,0.063964,-0.008276,0.997910,0.005235,-0.163671,-0.006785,0.986478,0.005616,-0.142010,-0.003202,0.989844,-0.003544,-0.141288,0.017198,0.989813,0.033276,-0.048931,0.211631,0.975557,-0.269033,-0.544883,0.078841,0.790258,-0.270943,-0.667743,0.102895,0.685655,-0.037141,-0.069358,-0.197957,0.977048,0.177148,-0.635400,-0.121029,0.741780,0.193222,-0.680055,-0.138055,0.693637
-0.005268,0.118081,-0.012524,0.992911,-0.003529,-0.017629,-0.013520,0.999747,-0.042154,-0.219331,-0.021718,0.974498,-0.033446,-0.115675,0.077221,0.989716,-0.004882,0.063531,-0.007970,0.997936,0.005294,-0.165326,-0.006385,0.986204,0.005376,-0.141988,-0.004875,0.989842,-0.004354,-0.140880,0.017204,0.989868,0.032410,-0.048264,0.210947,0.975767,-0.270751,-0.544678,0.076492,0.790044,-0.271670,-0.667969,0.101536,0.685349,-0.037834,-0.069225,-0.198083,0.977005,0.177644,-0.635208,-0.120842,0.741856,0.193397,-0.680378,-0.138235,0.693235
-0.005994,0.118533,-0.012756,0.992850,-0.004197,-0.018460,-0.013735,0.999726,-0.042896,-0.220166,-0.022053,0.974269,-0.033893,-0.115534,0.080234,0.989478,-0.005625,0.063461,-0.007653,0.997939,0.005349,-0.167289,-0.005983,0.985875,0.005092,-0.142480,-0.006846,0.989761,-0.005032,-0.140526,0.017224,0.989914,0.031677,-0.047855,0.210565,0.975894,-0.272553,-0.544583,0.074506,0.789679,-0.272519,-0.668280,0.100521,0.684859,-0.038398,-0.069092,-0.197990,0.977012,0.178058,-0.634986,-0.120447,0.742011,0.193479,-0.680663,-0.138214,0.692936
