body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.029571,0.051144,0.042150,-0.037142,-0.031927,0.030283,-0.065009,-0.022074,-0.062133,-0.066146,-0.022433,-0.062056,-0.076564,-0.017355,0.030344,-0.097845,-0.001751,-0.040728,-0.139536,-0.052048,0.133924,-0.052396,0.117881,0.062188,0.003055,0.197483,0.075277,0.119643,0.323915,-0.395525,0.042403,0.254245,-0.352978,-0.017254,0.116093,0.071031,0.066056,0.155665,0.131685,-0.018657,0.112195,0.101589
0.032470,0.030601,0.049478,-0.004439,-0.027135,0.040959,-0.034108,-0.014914,-0.066558,-0.039565,-0.016630,-0.066196,-0.060472,-0.009337,0.043552,-0.067677,0.011544,-0.052021,-0.105840,-0.038362,0.122868,-0.063583,0.041245,0.086861,0.037981,0.089860,0.075198,0.167281,0.215000,-0.405624,0.095334,0.144125,-0.363692,-0.033258,0.033525,0.091566,0.029843,0.061545,0.143420,-0.063149,0.013195,0.110442
0.043016,0.036240,0.049745,0.029191,-0.017941,0.041173,-0.031259,-0.014623,-0.068280,-0.046026,-0.019242,-0.067317,-0.030593,0.003349,0.044783,-0.056652,0.026900,-0.063616,-0.078245,-0.021839,0.108568,-0.081082,0.040105,0.078767,0.011271,0.163833,0.097400,0.048661,0.268259,-0.256950,-0.056242,0.219207,-0.216376,-0.032029,0.031706,0.088289,0.022469,0.058486,0.126853,-0.073680,0.006370,0.093097
0.048734,0.046926,0.045495,0.056125,-0.010550,0.035758,-0.039457,-0.018532,-0.069191,-0.059676,-0.024823,-0.067917,-0.003000,0.011492,0.039295,-0.053392,0.036062,-0.073586,-0.055670,-0.011365,0.094706,-0.105005,0.057256,0.055626,-0.025431,0.257404,0.105793,-0.086135,0.339714,-0.109328,-0.225652,0.314370,-0.069553,-0.031709,0.051140,0.072867,0.021408,0.082688,0.096157,-0.074908,0.027589,0.062913
0.037329,0.041510,0.039076,0.068816,-0.011208,0.029459,-0.041702,-0.024344,-0.071042,-0.054634,-0.028346,-0.070253,0.006314,0.005817,0.032204,-0.046582,0.030318,-0.080053,-0.036858,-0.016063,0.085008,-0.135077,0.035436,0.034811,-0.019508,0.208660,0.064611,-0.084458,0.283309,-0.123706,-0.224985,0.262497,-0.084706,-0.050032,0.032166,0.056615,0.004486,0.070297,0.065231,-0.091040,0.012453,0.032923
0.030205,0.034271,0.047071,0.115909,0.000143,0.039161,-0.009362,-0.016126,-0.066277,-0.007124,-0.015437,-0.066409,0.036635,0.000235,0.039503,-0.030473,0.026537,-0.080166,0.000339,-0.018625,0.080261,-0.185211,0.011169,0.034070,-0.012996,0.164675,0.040447,-0.073479,0.227663,-0.114110,-0.212336,0.212078,-0.076886,-0.076248,-0.003037,0.057367,-0.020761,0.045609,0.039333,-0.084079,0.002278,0.019106
0.030853,0.028826,0.065512,0.173752,0.017943,0.060101,0.041377,0.002386,-0.057194,0.059076,0.007810,-0.058216,0.072742,-0.002433,0.057550,-0.013062,0.026792,-0.073864,0.037244,-0.017594,0.082833,-0.230355,-0.003706,0.053673,-0.009392,0.147234,0.045291,-0.059384,0.200193,-0.085414,-0.194641,0.187935,-0.049820,-0.097238,-0.036945,0.074789,-0.041703,0.020866,0.031468,-0.057485,0.002005,0.028410
0.037367,0.000241,0.086669,0.259339,0.013182,0.083494,0.165010,0.013736,-0.055283,0.171221,0.015633,-0.055633,0.122234,-0.025885,0.078642,0.004509,0.006292,-0.063569,0.079141,-0.038869,0.094334,-0.269994,-0.034976,0.072486,0.035501,0.064092,0.021367,0.065444,0.110751,-0.153102,-0.041431,0.088990,-0.120040,-0.101396,-0.085850,0.095263,-0.032827,-0.010484,0.030220,-0.029601,-0.022843,0.034879
0.041976,-0.029025,0.104923,0.337561,-0.001561,0.102681,0.264433,0.010056,-0.055553,0.269461,0.011587,-0.055830,0.169674,-0.050183,0.096831,0.019671,-0.015373,-0.054268,0.118068,-0.061783,0.106503,-0.308742,-0.071779,0.090460,0.071918,-0.009233,0.005200,0.180993,0.031571,-0.215533,0.101353,-0.000016,-0.185050,-0.104574,-0.138561,0.115797,-0.019314,-0.044479,0.032761,-0.012515,-0.059399,0.039852
0.036690,-0.036849,0.114695,0.373264,-0.014383,0.110671,0.242567,-0.017301,-0.053732,0.294028,-0.001688,-0.056511,0.199458,-0.055839,0.106124,0.029665,-0.019019,-0.050912,0.145896,-0.066234,0.111009,-0.351390,-0.103342,0.107511,0.049768,0.002776,0.032910,0.166589,0.035858,-0.171168,0.087640,0.006414,-0.141677,-0.122840,-0.184361,0.133220,-0.026570,-0.077494,0.036203,-0.018546,-0.095073,0.044623
0.043821,-0.027713,0.129045,0.427533,0.006395,0.126152,0.279451,0.003269,-0.054827,0.317712,0.014841,-0.056839,0.228847,-0.031282,0.123294,0.008318,0.009166,-0.044524,0.153628,-0.038705,0.116996,-0.406975,-0.099347,0.125781,0.031369,0.045898,0.055645,0.157411,0.070202,-0.129701,0.078544,0.043287,-0.101163,-0.133304,-0.198365,0.156009,-0.032474,-0.083741,0.044651,-0.023495,-0.103390,0.054128
0.059550,-0.006055,0.140858,0.472823,0.050903,0.142111,0.356189,0.062684,-0.057298,0.328167,0.054235,-0.055868,0.242823,0.011430,0.140027,-0.033985,0.055673,-0.037974,0.137064,0.007589,0.121794,-0.448004,-0.062256,0.135892,0.025680,0.098059,0.062102,0.157783,0.116712,-0.111843,0.078292,0.091571,-0.083799,-0.130886,-0.173311,0.172851,-0.034166,-0.059907,0.053953,-0.024976,-0.079995,0.063697
0.054055,-0.018835,0.143626,0.468210,0.043049,0.146440,0.232594,0.020284,-0.044462,0.281735,0.035056,-0.046894,0.253646,-0.007052,0.141160,-0.004327,0.036452,-0.030758,0.171896,-0.011593,0.127356,-0.488606,-0.081892,0.139449,-0.036533,0.078897,0.072575,0.085634,0.094761,-0.085414,0.001223,0.072871,-0.057378,-0.187715,-0.177411,0.179090,-0.101537,-0.072247,0.058894,-0.092525,-0.091916,0.068503
