body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-1.311079,-0.184099,0.815442,-1.430452,-0.186210,0.684925,-1.448505,-0.187605,0.379158,-1.349189,-0.481601,0.443033,-1.197877,-0.174803,0.679824,-1.208078,-0.161263,0.374158,-1.201539,-0.460448,0.470334,-1.310291,-0.189686,0.869287,-1.453026,-0.181160,1.103674,-1.484935,-0.104988,0.938756,-1.485435,0.056300,0.850729,-1.172699,-0.171588,1.106522,-1.159106,-0.084699,0.944600,-1.213178,0.064529,0.852311
-1.311518,-0.183625,0.815327,-1.430868,-0.185765,0.684790,-1.448208,-0.187259,0.378986,-1.349576,-0.481353,0.443481,-1.198303,-0.174138,0.679733,-1.208089,-0.160891,0.374040,-1.201927,-0.460021,0.470484,-1.310731,-0.189265,0.869166,-1.453617,-0.180913,1.103472,-1.485705,-0.104847,0.938545,-1.485245,0.056698,0.851009,-1.173316,-0.170582,1.106451,-1.160059,-0.084083,0.944292,-1.214929,0.064951,0.852178
-1.312033,-0.183230,0.815086,-1.431340,-0.185381,0.684511,-1.447983,-0.186998,0.378672,-1.349979,-0.481175,0.443753,-1.198784,-0.173555,0.679533,-1.208085,-0.160607,0.373812,-1.202310,-0.459652,0.470605,-1.311242,-0.188928,0.868918,-1.454114,-0.180721,1.103241,-1.486505,-0.104730,0.938345,-1.485152,0.057036,0.851246,-1.173836,-0.169800,1.106169,-1.160918,-0.083525,0.943863,-1.216501,0.065396,0.852017
-1.312698,-0.182995,0.814592,-1.431923,-0.185117,0.683944,-1.447900,-0.186911,0.378073,-1.350412,-0.481144,0.443676,-1.199372,-0.173135,0.679116,-1.208051,-0.160501,0.373364,-1.202688,-0.459398,0.470668,-1.311894,-0.188761,0.868418,-1.454424,-0.180638,1.102953,-1.487364,-0.104659,0.938166,-1.485265,0.057267,0.851402,-1.174153,-0.169464,1.105465,-1.161589,-0.083081,0.943190,-1.217721,0.065897,0.851799
-1.313190,-0.182733,0.814361,-1.432328,-0.184897,0.683635,-1.447861,-0.186805,0.377745,-1.350873,-0.481115,0.443743,-1.199784,-0.172726,0.678963,-1.208113,-0.160468,0.373185,-1.203163,-0.459235,0.470940,-1.312400,-0.188538,0.868183,-1.454955,-0.180363,1.102710,-1.488051,-0.104347,0.937976,-1.484955,0.057791,0.851660,-1.174705,-0.168763,1.105220,-1.162266,-0.082435,0.942906,-1.218805,0.066429,0.851613
-1.313596,-0.182456,0.814261,-1.432643,-0.184699,0.683454,-1.447842,-0.186688,0.377551,-1.351348,-0.481086,0.443883,-1.200107,-0.172322,0.678941,-1.208223,-0.160472,0.373142,-1.203688,-0.459117,0.471315,-1.312834,-0.188287,0.868081,-1.455597,-0.179992,1.102487,-1.488654,-0.103915,0.937779,-1.484431,0.058454,0.851966,-1.175375,-0.167881,1.105205,-1.162947,-0.081689,0.942818,-1.219822,0.066976,0.851442
-1.314117,-0.182459,0.814009,-1.433021,-0.184689,0.683073,-1.447698,-0.186449,0.377146,-1.351770,-0.480923,0.443971,-1.200490,-0.172124,0.678821,-1.208254,-0.160353,0.373009,-1.204276,-0.458886,0.471552,-1.313397,-0.188340,0.867825,-1.456348,-0.179740,1.102110,-1.490074,-0.103859,0.937451,-1.485965,0.058269,0.851219,-1.176147,-0.167273,1.105019,-1.163709,-0.081162,0.942591,-1.220816,0.067375,0.851186
-1.314563,-0.182479,0.813784,-1.433344,-0.184686,0.682735,-1.447563,-0.186135,0.376788,-1.352200,-0.480690,0.444072,-1.200819,-0.171955,0.678708,-1.208273,-0.160197,0.372888,-1.204865,-0.458634,0.471744,-1.313883,-0.188407,0.867594,-1.457035,-0.179382,1.101749,-1.491324,-0.103653,0.937138,-1.487255,0.058240,0.850505,-1.176854,-0.166641,1.104861,-1.164379,-0.080637,0.942379,-1.221660,0.067782,0.850928
-1.314860,-0.182534,0.813610,-1.433560,-0.184696,0.682485,-1.447445,-0.185675,0.376524,-1.352643,-0.480322,0.444204,-1.201039,-0.171843,0.678612,-1.208273,-0.159969,0.372791,-1.205457,-0.458343,0.471848,-1.314214,-0.188503,0.867416,-1.457592,-0.178811,1.101418,-1.492230,-0.103141,0.936856,-1.488053,0.058532,0.849862,-1.177425,-0.165960,1.104759,-1.164861,-0.080117,0.942198,-1.222203,0.068205,0.850665
-1.315104,-0.182904,0.813382,-1.433723,-0.185048,0.682182,-1.447487,-0.185143,0.376217,-1.353133,-0.479938,0.443868,-1.201212,-0.171977,0.678463,-1.208278,-0.159740,0.372652,-1.205989,-0.458077,0.471806,-1.314492,-0.188906,0.867185,-1.458159,-0.178290,1.100988,-1.493116,-0.102691,0.936463,-1.488906,0.058789,0.849152,-1.178017,-0.165184,1.104608,-1.165271,-0.079607,0.941920,-1.222631,0.068599,0.850222
-1.315320,-0.183429,0.813128,-1.433859,-0.185570,0.681853,-1.447611,-0.184575,0.375892,-1.353647,-0.479548,0.443302,-1.201361,-0.172233,0.678288,-1.208287,-0.159510,0.372493,-1.206492,-0.457825,0.471691,-1.314742,-0.189461,0.866928,-1.458733,-0.177795,1.100504,-1.493991,-0.102272,0.936010,-1.489786,0.059026,0.848404,-1.178622,-0.164364,1.104426,-1.165646,-0.079102,0.941591,-1.223001,0.068976,0.849685
-1.315488,-0.184284,0.812857,-1.433924,-0.186563,0.681486,-1.447851,-0.184088,0.375546,-1.354203,-0.479436,0.441751,-1.201445,-0.172849,0.678107,-1.208258,-0.159587,0.372331,-1.206841,-0.457792,0.471812,-1.314950,-0.190289,0.866660,-1.459309,-0.177076,1.099963,-1.494411,-0.101526,0.935450,-1.489499,0.059911,0.848163,-1.179242,-0.163183,1.104194,-1.165979,-0.078418,0.941121,-1.223341,0.069467,0.848909
