joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.041586,-0.027050,-0.005453,0.079976,-0.003951,-0.034878,0.156683,-0.116206,0.197544,1.874827,1.998906,-0.458572,-0.464091,-0.340848,-0.660904,0.221209,-0.133531,-0.261800,-0.015226,-0.218311,0.416071,0.665408,0.705963,-0.086443,0.015411,0.300000,0.300000,-0.050000,-0.050000
-0.031453,-0.017771,-0.006528,0.079753,-0.002789,-0.034594,0.154746,-0.116520,0.193101,1.869249,1.994094,-0.447576,-0.452480,-0.340226,-0.661245,0.222277,-0.130081,-0.261800,-0.017968,-0.220206,0.417087,0.668158,0.704316,-0.086818,0.015493,0.300000,0.300000,-0.050000,-0.050000
-0.018654,-0.005855,-0.008366,0.079077,-0.002013,-0.032858,0.154559,-0.115656,0.187310,1.862949,1.989109,-0.433975,-0.439532,-0.339527,-0.661452,0.222789,-0.126528,-0.261800,-0.020763,-0.222252,0.418658,0.672192,0.701889,-0.087162,0.015645,0.300000,0.300000,-0.050000,-0.050000
-0.004516,0.007383,-0.010585,0.078173,-0.001429,-0.030395,0.155246,-0.114202,0.180843,1.856287,1.984036,-0.419065,-0.425909,-0.338789,-0.661592,0.223024,-0.122920,-0.261800,-0.023586,-0.224375,0.420507,0.676870,0.699072,-0.087489,0.015831,0.300000,0.300000,-0.050000,-0.050000
0.014036,0.023109,-0.011854,0.076175,-0.000705,-0.031668,0.155596,-0.112544,0.168536,1.848006,1.975676,-0.399999,-0.409780,-0.342397,-0.661070,0.221444,-0.119667,-0.261800,-0.026274,-0.226152,0.426380,0.683160,0.701295,-0.087672,0.016829,0.300000,0.300000,-0.050000,-0.049823
0.033139,0.039235,-0.013166,0.074035,-0.000074,-0.032441,0.156136,-0.110610,0.156102,1.838636,1.966954,-0.380599,-0.392963,-0.345172,-0.660259,0.219326,-0.116398,-0.261800,-0.028787,-0.227836,0.432229,0.689097,0.703185,-0.087842,0.017810,0.300000,0.300000,-0.050000,-0.049662
0.053338,0.056157,-0.014568,0.071611,0.000374,-0.032210,0.157058,-0.108124,0.143418,1.827090,1.957508,-0.360537,-0.374769,-0.346277,-0.658873,0.216131,-0.113099,-0.261800,-0.030951,-0.229334,0.438029,0.694327,0.704403,-0.087989,0.018759,0.300000,0.300000,-0.050000,-0.049535
0.074912,0.072828,-0.016210,0.068438,-0.000053,-0.029954,0.158801,-0.104676,0.129486,1.814577,1.945858,-0.342409,-0.355607,-0.349212,-0.656525,0.212549,-0.110172,-0.261800,-0.032860,-0.232723,0.443690,0.703737,0.706011,-0.088321,0.019693,0.300000,0.300000,-0.050000,-0.049418
0.097181,0.089381,-0.017972,0.064889,-0.000917,-0.026684,0.160955,-0.100745,0.114924,1.801574,1.933101,-0.325241,-0.335953,-0.353063,-0.653696,0.208772,-0.107429,-0.261800,-0.034643,-0.237059,0.449285,0.715240,0.707814,-0.088747,0.020619,0.300000,0.300000,-0.050000,-0.049308
0.118061,0.107055,-0.017732,0.061514,-0.002335,-0.025355,0.162055,-0.098068,0.101311,1.786874,1.919514,-0.308324,-0.316435,-0.354080,-0.650800,0.203615,-0.106151,-0.261800,-0.035704,-0.240862,0.454442,0.723700,0.709730,-0.089171,0.021492,0.300000,0.300000,-0.050000,-0.049266
0.138128,0.124591,-0.016635,0.058260,-0.003840,-0.024885,0.162491,-0.095998,0.088211,1.772703,1.905434,-0.292171,-0.296892,-0.354698,-0.647979,0.198209,-0.105406,-0.261800,-0.036739,-0.244387,0.459200,0.731149,0.711924,-0.089579,0.022306,0.300000,0.300000,-0.050000,-0.049287
0.156563,0.141844,-0.013829,0.055250,-0.005519,-0.026130,0.161604,-0.095143,0.076141,1.759598,1.890373,-0.277553,-0.277309,-0.354519,-0.645310,0.192308,-0.105725,-0.261800,-0.037721,-0.247355,0.463157,0.736577,0.714677,-0.089956,0.023005,0.300000,0.300000,-0.050000,-0.049434
0.175024,0.159434,-0.012688,0.052005,-0.007828,-0.024440,0.161315,-0.093496,0.064029,1.747945,1.878245,-0.263498,-0.261647,-0.354457,-0.643312,0.186655,-0.106609,-0.261800,-0.038653,-0.249802,0.466510,0.741220,0.717872,-0.090271,0.023643,0.300000,0.300000,-0.050000,-0.049634
0.193502,0.177195,-0.012382,0.048643,-0.010452,-0.021280,0.161324,-0.091451,0.051894,1.737018,1.867583,-0.249723,-0.247947,-0.354452,-0.641649,0.181125,-0.107776,-0.261800,-0.039561,-0.251988,0.469561,0.745471,0.721289,-0.090556,0.024251,0.300000,0.300000,-0.050000,-0.049859
0.208297,0.192846,-0.011045,0.044546,-0.012945,-0.018846,0.160591,-0.089811,0.043204,1.728523,1.857345,-0.238682,-0.238272,-0.353630,-0.640376,0.176292,-0.109751,-0.261800,-0.040478,-0.253570,0.471794,0.748021,0.724850,-0.090808,0.024755,0.300000,0.300000,-0.050000,-0.049941
0.222110,0.207854,-0.009699,0.040901,-0.015376,-0.016784,0.160179,-0.088501,0.035390,1.720481,1.847194,-0.228551,-0.229731,-0.352782,-0.639295,0.171794,-0.111856,-0.261800,-0.041352,-0.255061,0.473773,0.750207,0.728109,-0.091064,0.025216,0.300000,0.300000,-0.050000,-0.049997
0.233976,0.221597,-0.008330,0.038155,-0.017686,-0.015463,0.160407,-0.087852,0.029316,1.713335,1.837202,-0.220229,-0.223447,-0.351880,-0.638593,0.167959,-0.114224,-0.261800,-0.042139,-0.256368,0.475246,0.751668,0.730769,-0.091327,0.025591,0.300000,0.300000,-0.050000,-0.049999
0.244434,0.233976,-0.006855,0.035578,-0.019858,-0.014047,0.160348,-0.088229,0.024836,1.708138,1.828763,-0.213497,-0.219125,-0.350923,-0.638521,0.164547,-0.116940,-0.261800,-0.042937,-0.257428,0.476442,0.752658,0.732720,-0.091573,0.025919,0.300000,0.300000,-0.050000,-0.049999
0.254192,0.245678,-0.005328,0.033086,-0.021963,-0.012582,0.160147,-0.089119,0.021149,1.703912,1.821095,-0.207557,-0.215781,-0.349938,-0.638764,0.161345,-0.119830,-0.261800,-0.043740,-0.258364,0.477501,0.753412,0.734317,-0.091810,0.026223,0.300000,0.300000,-0.050000,-0.050000
0.261451,0.254263,-0.004027,0.031303,-0.024466,-0.010768,0.159935,-0.091338,0.020609,1.703291,1.816902,-0.204362,-0.215114,-0.349270,-0.639705,0.158825,-0.122748,-0.261800,-0.044620,-0.258802,0.478419,0.752617,0.735177,-0.092028,0.026503,0.300000,0.300000,-0.050000,-0.049999
0.267704,0.261828,-0.002832,0.029754,-0.026902,-0.009300,0.159736,-0.093798,0.021169,1.703613,1.813915,-0.202216,-0.215530,-0.349585,-0.640946,0.156813,-0.125440,-0.261798,-0.045439,-0.258910,0.479164,0.751776,0.735515,-0.092199,0.026745,0.300000,0.300000,-0.050000,-0.049999
0.271929,0.267337,-0.001850,0.028677,-0.029196,-0.008529,0.159561,-0.096734,0.023929,1.705819,1.813347,-0.202171,-0.218110,-0.351864,-0.642782,0.155818,-0.127670,-0.261790,-0.046133,-0.258357,0.479562,0.750848,0.734807,-0.092274,0.026907,0.300000,0.300000,-0.050000,-0.050000
0.273656,0.270395,-0.001375,0.027883,-0.031524,-0.008106,0.160030,-0.099372,0.029056,1.709826,1.814525,-0.204403,-0.223211,-0.354367,-0.645129,0.156910,-0.129534,-0.261313,-0.046588,-0.256282,0.479277,0.751005,0.732483,-0.092069,0.026921,0.300000,0.300000,-0.050000,-0.050000
0.274133,0.272226,-0.001152,0.027232,-0.033868,-0.007858,0.160822,-0.101860,0.035367,1.714733,1.816577,-0.207773,-0.229572,-0.356982,-0.647731,0.159046,-0.131214,-0.260601,-0.046922,-0.253446,0.478652,0.751706,0.729350,-0.091725,0.026859,0.300000,0.300000,-0.050000,-0.050000
