body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.034101,0.017239,-0.018224,-0.033803,0.006146,-0.014300,-0.036697,-0.008869,0.000316,-0.050264,-0.012599,0.021167,-0.036995,0.012835,-0.029397,-0.039604,-0.003773,-0.013990,-0.043675,-0.003145,0.007743,-0.003199,0.025205,-0.018578,-0.010850,0.014647,0.001583,-0.020189,0.014038,0.008765,0.011808,0.023446,0.021551,-0.007460,0.037032,-0.039843,-0.042894,0.029716,-0.037529,-0.074761,0.020865,-0.022120
-0.032915,0.014610,-0.017959,-0.034134,0.005800,-0.014009,-0.040392,-0.005411,-0.003774,-0.052643,-0.008813,0.010292,-0.036199,0.011677,-0.027522,-0.041735,-0.002669,-0.013364,-0.046554,-0.001369,0.006404,-0.003707,0.020193,-0.018366,-0.010267,0.013886,0.001806,-0.016214,0.017374,0.011530,0.018115,0.028008,0.026656,-0.006284,0.032269,-0.037278,-0.035591,0.030269,-0.032369,-0.060194,0.022984,-0.020122
-0.024911,0.015853,-0.008142,-0.025864,0.009838,-0.005161,-0.034223,0.004788,-0.000090,-0.047174,0.000501,0.007683,-0.028309,0.015579,-0.014478,-0.037932,0.003644,-0.004383,-0.044498,0.004211,0.009565,-0.013204,0.022982,-0.008788,-0.017769,0.016484,-0.000292,-0.007924,0.025037,0.011923,0.036622,0.039382,0.032783,-0.016359,0.038420,-0.016546,-0.035698,0.033324,-0.016069,-0.052463,0.021442,-0.015068
-0.026051,0.010040,-0.008613,-0.028098,0.008022,-0.003477,-0.039005,0.010352,-0.000208,-0.052189,0.005661,0.007305,-0.030874,0.013384,-0.013994,-0.045161,0.007742,-0.006257,-0.053514,0.008624,0.005211,-0.013924,0.018946,-0.009487,-0.023258,0.012413,-0.000490,-0.034409,0.013579,0.005009,-0.017139,0.014763,0.006259,-0.016910,0.034528,-0.017192,-0.034699,0.029650,-0.017032,-0.049058,0.018068,-0.017350
-0.027856,0.003076,-0.011725,-0.030913,0.004773,-0.004126,-0.043750,0.013429,-0.000989,-0.057126,0.008684,0.008551,-0.033695,0.009153,-0.016907,-0.051246,0.009629,-0.010563,-0.061283,0.011168,-0.000176,-0.011100,0.015584,-0.012811,-0.025007,0.011075,-0.000582,-0.059291,0.003700,-0.002687,-0.071020,-0.009206,-0.023095,-0.013552,0.029454,-0.023378,-0.031376,0.025191,-0.022776,-0.044423,0.015644,-0.021601
-0.021845,0.000888,-0.009828,-0.024351,0.004554,-0.002267,-0.037403,0.016203,0.000724,-0.051326,0.011610,0.010855,-0.026554,0.006954,-0.014031,-0.043980,0.009319,-0.008803,-0.055488,0.011134,-0.000038,-0.009993,0.020300,-0.011119,-0.021357,0.021913,-0.002529,-0.045963,0.015951,-0.004992,-0.051490,0.003262,-0.025849,-0.011940,0.031914,-0.019268,-0.024472,0.025790,-0.020815,-0.032857,0.016880,-0.022432
-0.016248,-0.008394,-0.009903,-0.019751,-0.000645,-0.000989,-0.034635,0.020883,-0.004007,-0.047680,0.016537,-0.001169,-0.020552,0.001690,-0.011859,-0.037228,0.010329,-0.009570,-0.048956,0.012414,-0.004431,-0.009956,0.020945,-0.011645,-0.019566,0.026958,-0.006941,-0.037478,0.022467,-0.009145,-0.040366,0.010536,-0.028849,-0.011366,0.034168,-0.017289,-0.017623,0.025095,-0.022057,-0.022405,0.017213,-0.025988
-0.013865,-0.020123,-0.011913,-0.019444,-0.008244,-0.000900,-0.036898,0.025117,-0.012714,-0.048052,0.020995,-0.021427,-0.018712,-0.004010,-0.011470,-0.034390,0.012158,-0.012463,-0.044967,0.014380,-0.011143,-0.011105,0.017189,-0.014224,-0.020624,0.023639,-0.011727,-0.038136,0.019866,-0.013167,-0.043310,0.008793,-0.030731,-0.012251,0.035077,-0.018547,-0.014366,0.023436,-0.025979,-0.018388,0.016457,-0.030596
-0.009862,-0.031795,-0.013029,-0.014548,-0.012912,-0.001598,-0.030972,0.036500,-0.031517,-0.041450,0.030134,-0.064429,-0.012439,-0.007720,-0.006899,-0.022579,0.019019,-0.011588,-0.031822,0.021512,-0.014327,-0.016469,0.011734,-0.016030,-0.022392,0.021834,-0.018231,-0.022575,0.027393,-0.011766,-0.009987,0.028495,-0.009706,-0.017562,0.035016,-0.016026,-0.014236,0.023476,-0.023571,-0.016000,0.018286,-0.028245
-0.005673,-0.044290,-0.017420,-0.008464,-0.018952,-0.005953,-0.022385,0.045518,-0.050233,-0.032981,0.037658,-0.102030,-0.005745,-0.012864,-0.005617,-0.010277,0.024077,-0.013611,-0.018384,0.026889,-0.019944,-0.022900,0.005506,-0.021321,-0.026261,0.018538,-0.029097,-0.011148,0.031997,-0.015556,0.017744,0.044312,0.004747,-0.024066,0.034077,-0.016234,-0.015002,0.022815,-0.023601,-0.013821,0.018821,-0.029152
-0.002698,-0.058520,-0.029254,-0.004450,-0.030670,-0.016990,-0.016396,0.042342,-0.058987,-0.027558,0.036478,-0.106261,-0.002521,-0.022915,-0.015087,-0.005759,0.020422,-0.025168,-0.013316,0.023538,-0.033876,-0.027211,-0.000535,-0.034204,-0.033566,0.010766,-0.046779,-0.024228,0.020794,-0.034994,-0.002317,0.031347,-0.016689,-0.028451,0.032396,-0.025437,-0.014316,0.019061,-0.034634,-0.010298,0.014165,-0.043366
-0.001282,-0.076444,-0.034950,-0.005991,-0.044338,-0.018702,-0.023194,0.039831,-0.067124,-0.034119,0.033144,-0.122486,-0.004672,-0.035856,-0.020129,-0.012143,0.014945,-0.028649,-0.017565,0.019760,-0.033883,-0.024181,-0.009583,-0.041334,-0.033291,0.000985,-0.053043,-0.033619,0.008285,-0.041910,-0.020639,0.017570,-0.024503,-0.025489,0.029432,-0.034296,-0.011126,0.014812,-0.044329,-0.007314,0.008775,-0.054169
