joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.097851,0.060056,-0.011857,0.005656,-0.002673,0.003519,0.075904,0.006041,-0.151865,-0.071406,-0.049114,0.064060,-0.022063,-0.039760,-0.001122,0.045431,0.000428,-0.019070,-0.016490,-0.005294,0.045700,0.007001,0.015728,0.000174,0.009523,0.000000,0.000000,0.000001,0.000001
0.050055,0.020118,-0.014797,0.000701,-0.006450,0.002458,0.072419,0.014723,-0.105001,-0.056440,-0.041714,0.012557,-0.056420,-0.029108,-0.000955,0.029760,-0.007974,-0.019217,-0.015955,0.002552,0.040267,0.007601,0.013654,0.000189,0.008958,0.000000,0.000000,0.000001,0.000001
0.014681,-0.002789,-0.013455,-0.002291,-0.009472,0.003107,0.064062,0.026758,-0.071646,-0.040159,-0.037551,-0.017354,-0.073633,-0.028517,-0.000337,0.014943,-0.010895,-0.019473,-0.014735,0.005202,0.037105,0.006030,0.017013,0.000144,0.008685,0.000000,0.000000,0.000001,0.000000
-0.014334,-0.029704,-0.008030,-0.001092,-0.013526,0.005636,0.049353,0.029851,-0.034274,-0.024951,-0.019208,-0.037928,-0.081687,-0.028121,-0.007190,-0.002594,-0.009803,-0.017655,-0.013153,0.003912,0.038339,-0.002910,0.026049,0.000010,0.009092,0.000000,0.000000,0.000000,0.000000
-0.036182,-0.048250,-0.001521,0.001512,-0.015860,0.007140,0.033272,0.032572,-0.003182,-0.011158,-0.000772,-0.046723,-0.080522,-0.027158,-0.012514,-0.017115,-0.004741,-0.015748,-0.012578,-0.000417,0.042097,-0.012036,0.036228,-0.000119,0.009806,0.000000,0.000000,-0.000000,-0.000000
-0.050122,-0.046103,0.003076,0.002733,-0.013734,0.004715,0.020792,0.043516,0.011387,0.000918,0.003681,-0.041354,-0.070127,-0.024877,-0.007313,-0.022914,0.004245,-0.015745,-0.014386,-0.006881,0.046524,-0.014168,0.043039,-0.000152,0.010457,0.000000,0.000000,-0.000001,-0.000001
-0.055114,-0.046625,0.008479,-0.000862,-0.006976,0.001646,0.003985,0.051174,0.022824,0.001881,-0.007313,-0.030789,-0.054108,-0.020830,0.001396,-0.026987,0.017609,-0.014599,-0.016829,-0.011595,0.050107,-0.015007,0.046255,-0.000118,0.010829,0.000000,0.000000,-0.000001,-0.000000
-0.048630,-0.049518,0.011980,-0.007471,0.001036,-0.000535,-0.008745,0.051683,0.025402,-0.008741,-0.028235,-0.020290,-0.040439,-0.017025,0.009257,-0.027279,0.028655,-0.012876,-0.018674,-0.012198,0.051019,-0.014123,0.044234,-0.000037,0.010730,0.000000,0.000000,-0.000000,-0.000000
-0.038259,-0.041469,0.008987,-0.009084,0.007939,-0.001056,-0.013194,0.045170,0.025785,-0.014853,-0.027359,-0.001340,-0.018227,-0.018360,0.008634,-0.028082,0.041235,-0.012709,-0.019442,-0.009250,0.048814,-0.001962,0.041786,0.000066,0.010099,0.000000,0.000000,0.000000,0.000000
-0.025712,-0.029370,0.002739,-0.007653,0.012062,-0.000041,-0.012523,0.036667,0.022892,-0.020742,-0.017700,0.017913,0.004567,-0.021333,0.005008,-0.030460,0.051070,-0.013182,-0.019542,-0.004001,0.043716,0.013803,0.041020,0.000199,0.009098,0.000000,0.000000,0.000001,0.000000
-0.012635,-0.020038,-0.003542,-0.005110,0.011708,0.002392,-0.009860,0.031122,0.015585,-0.030643,-0.012210,0.029300,0.019991,-0.022405,0.003852,-0.035417,0.053784,-0.013351,-0.019341,0.002310,0.035851,0.025494,0.043954,0.000370,0.007873,0.000000,0.000000,0.000001,0.000000
0.005751,-0.008041,-0.009786,-0.001641,0.013194,0.005648,-0.007334,0.025133,0.003125,-0.047061,-0.008690,0.041889,0.038288,-0.018107,0.002818,-0.039962,0.056037,-0.012400,-0.018578,0.002948,0.028138,0.035840,0.046189,0.000270,0.006649,0.000000,0.000000,0.000001,-0.000000
