body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.674298,-0.063518,0.051928,-0.733888,-0.675554,-0.037543,0.008610,-0.736304,-0.371729,0.614705,-0.489733,-0.494082,-0.380136,0.573259,-0.336007,-0.643405,-0.676336,-0.019673,0.031461,-0.735658,-0.413271,0.577012,-0.579498,-0.400557,-0.565304,0.434091,-0.406198,-0.571839,-0.675851,-0.051913,0.046913,-0.733709,-0.676583,-0.177319,0.055463,-0.712543,-0.721404,0.056889,-0.249751,-0.643401,-0.692724,0.194913,-0.319869,-0.616300,-0.651630,-0.085528,0.166136,-0.735161,-0.493066,0.271384,0.004917,-0.826567,-0.509456,0.387161,-0.070699,-0.765221
-0.673486,-0.064786,0.052733,-0.734465,-0.674805,-0.037866,0.009153,-0.736967,-0.370634,0.616135,-0.489342,-0.493511,-0.379553,0.573845,-0.335366,-0.643562,-0.675618,-0.019010,0.032137,-0.736305,-0.413631,0.577354,-0.579572,-0.399584,-0.566062,0.434211,-0.405357,-0.571594,-0.674985,-0.051423,0.045862,-0.734607,-0.675824,-0.178000,0.054609,-0.713159,-0.719886,0.056994,-0.250016,-0.644987,-0.691230,0.195111,-0.319894,-0.617900,-0.650210,-0.086403,0.167406,-0.736028,-0.492208,0.270044,0.007353,-0.827498,-0.508982,0.385926,-0.068208,-0.766385
-0.672759,-0.065984,0.053441,-0.734973,-0.674118,-0.038633,0.009968,-0.737545,-0.369541,0.617557,-0.488884,-0.493008,-0.379057,0.574335,-0.334698,-0.643764,-0.674976,-0.018727,0.033134,-0.736857,-0.414003,0.577616,-0.579678,-0.398666,-0.566925,0.434137,-0.404499,-0.571403,-0.674327,-0.050374,0.044372,-0.735376,-0.675284,-0.178881,0.053359,-0.713545,-0.718125,0.057158,-0.250782,-0.646636,-0.689420,0.195330,-0.320420,-0.619578,-0.648832,-0.087217,0.168583,-0.736879,-0.491483,0.268342,0.009812,-0.828457,-0.508635,0.384353,-0.065690,-0.767625
-0.672044,-0.066759,0.053803,-0.735531,-0.673354,-0.040691,0.011405,-0.738111,-0.368675,0.618571,-0.488113,-0.493147,-0.378743,0.574534,-0.334372,-0.643941,-0.674303,-0.019424,0.034689,-0.737384,-0.413852,0.577910,-0.580239,-0.397580,-0.567613,0.433909,-0.404061,-0.571204,-0.673950,-0.047473,0.041375,-0.736088,-0.675456,-0.179097,0.052221,-0.713412,-0.717170,0.057375,-0.251269,-0.647487,-0.688419,0.195531,-0.320813,-0.620424,-0.647452,-0.087127,0.168961,-0.738015,-0.490528,0.267204,0.011340,-0.829371,-0.507919,0.383371,-0.064010,-0.768731
-0.671352,-0.067414,0.054047,-0.736085,-0.672591,-0.043006,0.013114,-0.738648,-0.368024,0.619464,-0.487238,-0.493377,-0.378696,0.574561,-0.333851,-0.644215,-0.673640,-0.020497,0.036437,-0.737876,-0.413651,0.578126,-0.580796,-0.396661,-0.568289,0.433512,-0.403578,-0.571174,-0.673688,-0.044049,0.037962,-0.736724,-0.675840,-0.179224,0.050967,-0.713107,-0.716390,0.057539,-0.251861,-0.648105,-0.687571,0.195666,-0.321340,-0.621049,-0.646089,-0.086836,0.169257,-0.739175,-0.489624,0.266056,0.012785,-0.830253,-0.507239,0.382387,-0.062402,-0.769802
-0.670708,-0.067827,0.054055,-0.736633,-0.671827,-0.045836,0.015371,-0.739129,-0.367796,0.620113,-0.486162,-0.493794,-0.379178,0.574240,-0.332947,-0.644685,-0.672993,-0.022321,0.038572,-0.738305,-0.413350,0.578194,-0.581346,-0.396069,-0.568942,0.432784,-0.403004,-0.571482,-0.673660,-0.039583,0.033709,-0.737210,-0.676646,-0.179180,0.049475,-0.712458,-0.715959,0.057594,-0.252666,-0.648264,-0.687027,0.195665,-0.322140,-0.621237,-0.644760,-0.086141,0.169389,-0.740386,-0.488826,0.264895,0.014069,-0.831072,-0.506634,0.381402,-0.060931,-0.770806
-0.670130,-0.068039,0.053790,-0.737159,-0.671077,-0.049207,0.018153,-0.739530,-0.367910,0.620558,-0.485059,-0.494234,-0.379922,0.573743,-0.331515,-0.645427,-0.672379,-0.024911,0.041134,-0.738644,-0.413048,0.578042,-0.581861,-0.395851,-0.569682,0.431609,-0.402190,-0.572206,-0.673733,-0.034059,0.028627,-0.737634,-0.677753,-0.178917,0.047681,-0.711594,-0.715798,0.057575,-0.253642,-0.648062,-0.686717,0.195579,-0.323148,-0.621083,-0.643387,-0.084930,0.169259,-0.741749,-0.487962,0.263972,0.015060,-0.831856,-0.505915,0.380668,-0.059711,-0.771736
-0.669585,-0.068151,0.053389,-0.737673,-0.670327,-0.052855,0.021199,-0.739877,-0.368198,0.620897,-0.483945,-0.494685,-0.380799,0.573153,-0.329819,-0.646303,-0.671775,-0.027888,0.043908,-0.738927,-0.412738,0.577776,-0.582363,-0.395823,-0.570463,0.430202,-0.401260,-0.573139,-0.673827,-0.027998,0.023124,-0.737996,-0.679009,-0.178532,0.045751,-0.710619,-0.715779,0.057524,-0.254690,-0.647676,-0.686533,0.195454,-0.324247,-0.620752,-0.641989,-0.083475,0.168983,-0.743187,-0.487060,0.263153,0.015894,-0.832628,-0.505136,0.380044,-0.058623,-0.772637
-0.668688,-0.067779,0.052322,-0.738596,-0.669066,-0.058075,0.024518,-0.740525,-0.369017,0.620001,-0.482606,-0.496505,-0.381275,0.572015,-0.327134,-0.648391,-0.670739,-0.032065,0.047043,-0.739505,-0.411935,0.577370,-0.583026,-0.396274,-0.570956,0.428342,-0.400548,-0.574537,-0.673343,-0.019720,0.016998,-0.738872,-0.680006,-0.177491,0.044026,-0.710035,-0.715980,0.057443,-0.254573,-0.647508,-0.686747,0.195347,-0.324179,-0.620585,-0.639885,-0.080136,0.168462,-0.745484,-0.485369,0.263984,0.016361,-0.833344,-0.503527,0.381085,-0.057692,-0.773244
-0.667880,-0.067302,0.051210,-0.739448,-0.667843,-0.063573,0.028029,-0.741052,-0.369945,0.618966,-0.481481,-0.498195,-0.381902,0.570796,-0.324667,-0.650334,-0.669766,-0.036478,0.050391,-0.739962,-0.410970,0.577013,-0.583855,-0.396577,-0.571394,0.426514,-0.400012,-0.575835,-0.672892,-0.011251,0.010566,-0.739580,-0.681143,-0.176508,0.042174,-0.709302,-0.716369,0.057076,-0.254508,-0.647135,-0.687147,0.194961,-0.324188,-0.620259,-0.637826,-0.076757,0.167943,-0.747718,-0.483823,0.264804,0.016766,-0.833974,-0.502048,0.382107,-0.056832,-0.773765
-0.667252,-0.066616,0.050012,-0.740159,-0.666718,-0.069608,0.031935,-0.741365,-0.371101,0.617665,-0.480786,-0.499619,-0.382833,0.569433,-0.322640,-0.651989,-0.668932,-0.041343,0.054173,-0.740194,-0.409702,0.576761,-0.585001,-0.396567,-0.571736,0.424768,-0.399810,-0.576925,-0.672555,-0.002428,0.003516,-0.740035,-0.682558,-0.175663,0.040030,-0.708276,-0.717121,0.056128,-0.254583,-0.646355,-0.687901,0.194011,-0.324382,-0.619619,-0.635874,-0.073276,0.167449,-0.749837,-0.482576,0.265629,0.017060,-0.834429,-0.500840,0.383118,-0.056100,-0.774101
-0.666480,-0.065745,0.048848,-0.741010,-0.665325,-0.076474,0.036308,-0.741739,-0.372835,0.615624,-0.479798,-0.501792,-0.383909,0.567916,-0.321073,-0.653450,-0.667899,-0.046658,0.058120,-0.740511,-0.408057,0.576497,-0.586506,-0.396424,-0.571961,0.422897,-0.400093,-0.577879,-0.672073,0.008060,-0.003505,-0.740432,-0.684012,-0.172785,0.037471,-0.707721,-0.717919,0.056417,-0.253336,-0.645934,-0.689029,0.193878,-0.322916,-0.619173,-0.633566,-0.068565,0.167361,-0.752252,-0.481082,0.267370,0.017760,-0.834721,-0.499449,0.385014,-0.054888,-0.774146
-0.665635,-0.064784,0.047703,-0.741928,-0.663759,-0.083753,0.040896,-0.742117,-0.374819,0.613201,-0.478665,-0.504355,-0.385025,0.566309,-0.319746,-0.654838,-0.666747,-0.052199,0.062135,-0.740853,-0.406192,0.576229,-0.588186,-0.396238,-0.572100,0.420959,-0.400629,-0.578784,-0.671478,0.019375,-0.010495,-0.740697,-0.685483,-0.168880,0.034742,-0.707379,-0.718740,0.057321,-0.251405,-0.645695,-0.690345,0.194151,-0.320598,-0.618827,-0.631068,-0.063266,0.167450,-0.754792,-0.479456,0.269537,0.018652,-0.834939,-0.497955,0.387321,-0.053445,-0.774059
-0.664946,-0.063592,0.046369,-0.742733,-0.662174,-0.092023,0.046306,-0.742236,-0.377618,0.610070,-0.476544,-0.508060,-0.386027,0.565020,-0.318770,-0.655836,-0.665671,-0.058372,0.066649,-0.740968,-0.404855,0.575557,-0.589328,-0.396886,-0.572449,0.418522,-0.400732,-0.580134,-0.670945,0.030140,-0.019229,-0.740645,-0.687315,-0.167439,0.031490,-0.706095,-0.719892,0.055291,-0.250310,-0.645014,-0.691995,0.191590,-0.319172,-0.618519,-0.628746,-0.059231,0.167199,-0.757109,-0.478343,0.270446,0.019233,-0.835271,-0.496907,0.388422,-0.052378,-0.774253
